resort,country code,lat,long,coord,total score,overall rank,hastags number,hashtag rank,tripadvisor score,tripadvisor rank,ski pass cost,ski pass cost rank,food and drinks cost,food and drinks rank
Japan,JP,36.58862111,138.9559607,36.58862111135642; 138.95596068138755,58,1,"175,073",9,4.33,2,167.6,6,395.6,15
Spain,ES,39.61364763,-3.46960127,39.61364763228941; -3.4696012703692167,57,2,"939,933",1,4.1,8,233.5,13,544,4
Sweden,SE,62.9580347,16.98475883,62.95803470092348; 16.984758834180386,56,3,"312,482",4,3.84,15,165.3,5,414.6,14
Finland,FI,62.07665296,25.75596314,62.07665296246022; 25.755963141249282,55,4,"158,482",11,4.09,10,200.5,12,393,16
Austria,AT,47.62919677,14.13435517,47.629196774163; 14.134355173536056,54,5,"102,120",15,4.17,6,181,7,441,11
Italy,IT,43.18866316,43.18866316,43.18866316455792; 43.18866316455792,54,6,"226,877",8,4.15,7,185.8,8,467,7
Andorra,AD,42.54673771,1.564393941,42.546737713256555; 1.5643939412464727,53,7,"55,105",17,4.22,3,198.5,10,489,5
Canada,CA,60.52987479,-111.0562422,60.529874787121926; -111.05624221925382,53,9,"633,877",2,4.19,4,362.3,16,438,12
France,FR,46.59616984,2.27518497,46.59616984444522; 2.2751849702112317,53,8,"126,723",13,4.09,10,188.9,9,461,8
Bulgaria,BG,42.54954619,25.33159436,42.54954618739303; 25.3315943588815,52,10,"154,288",12,4.45,1,132.6,2,606,1
Chile,CL,-26.54168133,-70.6352247,-26.5416813264677; -70.63522470013292,52,11,"249,068",5,4.08,12,312.5,15,388.5,17
Norway,NO,61.93324884,8.975390797,61.9332488384315; 8.975390796829473,52,12,"121,717",14,3.56,17,142.8,4,450,10
Switzerland,CH,46.95326798,7.445135194,46.9532679806478; 7.445135193933353,51,14,"243,334",6,4.1,8,285.56,14,455,9
Germany,DE,51.0568208,10.29517032,51.056820803089046; 10.29517032007978,51,13,"235,652",7,3.72,16,142,3,469.2,6
Slovenia,SI,46.08055984,14.52392893,46.08055983668616; 14.523928931127966,49,15,"170,371",10,4.01,14,129.5,1,601,2
USA,US,39.73398588,-100.0667305,39.733985880544985; -100.06673052771721,48,16,"392,330",3,4.03,13,399.89,17,433,13
Argentina,AR,-35.5060563,-64.73523883,-35.50605630140183; -64.73523882544526,47,17,"100,471",16,4.19,4,200,11,587.2,3