resort,country,country code,lat,long,coord,total score,overall rank,hastags number,hashtag rate,hashtag rank,tripadvisor score,tripvadvisor rate,tripadvisor rank,ski pass cost,ski pass cost rate,ski pass cost rank,food and drinks cost,food and drinks score,food and drinks rank
Scheffau,Austria,AT,47.5251953,12.4703174,47.5251953;12.4703174,53,145,37201,1,127,3.63,18,239,203,20,100,375.41,14,61
St Wolfgang,Austria,AT,48.6712393,14.8809197,48.6712393;14.8809197,53,145,39329,1,127,3.36,16,289,125,22,5,375.41,14,61
Stubai glacier,Austria,AT,47.522617,14.143702,47.522617;14.143702,53,145,16124,1,127,4,20,135,210,19,161,401.59,13,141
Valle Nevado,Chile,CL,-33.3543477,-70.2491559,-33.3543477;-70.2491559,53,145,321326,4,40,4,20,135,304,16,229,401.59,13,141
Montgenevre,France,FR,44.9300126,6.7184146,44.9300126;6.7184146,53,145,60832,1,127,3.8,19,202,172,21,34,436,12,166
Kronplatz,Italy,IT,46.7387791,11.9583111,46.7387791;11.9583111,53,145,155518,2,81,4.4,22,31,184,20,100,509,9,216
La Villa,Italy,IT,43.0964348,13.227899,43.0964348;13.227899,53,145,5,1,127,4.2,21,82,173,21,34,478.94,10,197
Sansicario,Italy,IT,44.9650273,6.838196435,44.9650273;6.83819643465953,53,145,23049,1,127,3.5,17,274,154,21,34,375.41,14,61
Tomamu,Japan,JP,43.05,142.65,43.05;142.65,53,145,51709,1,127,3.8,19,202,180,20,100,401.59,13,141
Gstaad,Switzerland,CH,46.4761004,7.2873587,46.4761004;7.2873587,53,145,344718,4,40,3.6,18,239,327,16,229,335.65,15,24
St Moritz,Switzerland,CH,46.4978958,9.8392428,46.4978958;9.8392428,53,145,598585,6,25,3.66,18,239,332,15,242,375,14,61
Sun Valley,USA,US,43.696215,-114.353097,43.696215;-114.353097,53,145,423941,5,29,4,20,135,337,15,242,401.59,13,141
Hopfgarten,Austria,AT,47.6736887,14.9902439,47.6736887;14.9902439,52,161,21067,1,127,4.1,20,135,202,20,100,470,11,178
Maria Alm,Austria,AT,47.423299,12.94816,47.423299;12.94816,52,161,56461,1,127,3.63,18,239,238,19,161,361,14,61
Soll,Austria,AT,47.5037162,12.1916425,47.5037162;12.1916425,52,161,55379,1,127,3.56,17,274,201,20,100,375.41,14,61
Zell am Ziller,Austria,AT,47.2335951,11.881991,47.2335951;11.881991,52,161,27671,1,127,3.7,18,239,209,20,100,402,13,141
Bansko,Bulgaria,BG,41.8344086,23.4841698,41.8344086;23.4841698,52,161,314548,4,40,4.66,23,4,119,23,1,720,2,251
Courchevel,France,FR,45.4140984,6.6349892,45.4140984;6.6349892,52,161,522312,6,25,4.5,22,31,277,17,210,566,7,236
Font Romeu,France,FR,42.5050306,2.0419811,42.5050306;2.0419811,52,161,89818,1,127,3.9,19,202,161,21,34,441,11,178
La Joue du Loup,France,FR,44.6883952,5.8930366,44.6883952;5.8930366,52,161,10262,1,127,4.06,20,135,153,21,34,478.94,10,197
La Plagne,France,FR,43.2273738,1.3738302,43.2273738;1.3738302,52,161,264475,3,60,4,20,135,234,19,161,483,10,197
Superdevoluy,France,FR,44.6765415,5.9295878,44.6765415;5.9295878,52,161,18304,1,127,3.4,17,274,153,21,34,401.59,13,141
Ruhpolding,Germany,DE,47.7620099,12.6459934,47.7620099;12.6459934,52,161,72091,1,127,3.3,16,289,189,20,100,352,15,24
Cortina,Italy,IT,43.7070273,11.6858483,43.7070273;11.6858483,52,161,1043021,11,14,4.4,22,31,259,18,186,723,1,264
Courmayeur,Italy,IT,45.7874248,6.9730618,45.7874248;6.9730618,52,161,421735,5,29,4.3,21,82,219,19,161,566,7,236
Trysil Trysilfjellet,Norway,NO,61.33213,12.27765,61.33213;12.27765,52,161,0,0,294,3.7,18,239,176,21,34,401.59,13,141
Lauterbrunnen,Switzerland,CH,46.5939043,7.9078016,46.5939043;7.9078016,52,161,423734,5,29,3.73,18,239,265,18,186,451.64,11,178
Alta,USA,US,42.6736893,-95.3039943,42.6736893;-95.3039943,52,161,20297,1,127,4.13,20,135,455,11,277,205,20,1
Loveland,USA,US,40.385549,-105.0443613,40.385549;-105.044361320949,52,161,29388,1,127,4,20,135,279,17,210,361,14,61
Mammoth Mountain,USA,US,37.6307692,-119.032634,37.6307692;-119.032634,52,161,447827,5,29,3.96,19,202,374,14,254,367,14,61
Solitude,USA,US,37.5637458,-79.6064274,37.5637458;-79.6064274,52,161,3531,1,127,4,20,135,308,16,229,352,15,24
Sugarbush,USA,US,44.5417138,-73.9698685,44.5417138;-73.9698685,52,161,96089,1,127,3.9,19,202,237,19,161,402,13,141
Gerlos,Austria,AT,47.2256221,12.0345602,47.2256221;12.0345602,51,181,83398,1,127,4.3,21,82,208,20,100,528.15,9,216
Kuhtai,Austria,AT,47.2136222,11.0234047,47.2136222;11.0234047,51,181,46455,1,127,3.8,19,202,142,22,5,509,9,216
Portillo,Chile,CL,-32.8364183,-70.1290835,-32.8364183;-70.1290835,51,181,176810,2,81,4.16,20,135,321,15,242,375.41,14,61
La Clusaz,France,FR,45.9043659,6.4239011,45.9043659;6.4239011,51,181,199850,2,81,3.96,19,202,159,21,34,509,9,216
La Toussuire,France,FR,45.2557745,6.2626689,45.2557745;6.2626689,51,181,31247,1,127,3.9,19,202,151,21,34,479,10,197
Les Arcs,France,FR,43.4629097,6.4786269,43.4629097;6.4786269,51,181,251010,3,60,3.56,17,274,238,19,161,427,12,166
Pra Loup,France,FR,44.3701507,6.6025028,44.3701507;6.6025028,51,181,37223,1,127,3,15,291,169,21,34,375,14,61
Gressoney,Italy,IT,45.829612,7.8241273,45.829612;7.8241273,51,181,109930,2,81,3.7,18,239,181,20,100,463,11,178
Zermatt,Switzerland,CH,46.0212076,7.749254,46.0212076;7.749254,51,181,1222786,13,11,4.5,22,31,346,15,242,723,1,264
Heavenly,USA,US,37.6870865,-122.4693868,37.6870865;-122.4693868,51,181,50244,1,127,4.5,22,31,289,17,210,470,11,178
Killington,USA,US,43.67433,-72.7784445,43.67433;-72.7784445,51,181,257805,3,60,3.86,19,202,237,19,161,479,10,197
Schweitzer,USA,US,43.3620854,-70.44378573,43.3620854;-70.4437857296639,51,181,45408,1,127,4.36,21,82,365,14,254,352,15,24
La Massana,Andorra,AD,42.5442014,1.5163754,42.5442014;1.5163754,50,193,64448,1,127,3.56,17,274,142,22,5,483,10,197
Finkenberg,Austria,AT,47.1524246,11.8213394,47.1524246;11.8213394,50,193,20567,1,127,4.26,21,82,195,20,100,552.44,8,229
Kirchberg,Austria,AT,48.2650502,14.1593682,48.2650502;14.1593682,50,193,93104,1,127,3.66,18,239,169,21,34,478.94,10,197
Kitzbuhel,Austria,AT,47.4463585,12.3911473,47.4463585;12.3911473,50,193,67069,1,127,4.4,22,31,256,18,186,509,9,216
Zurs,Austria,AT,47.17122,10.1631739,47.17122;10.1631739,50,193,5486,1,127,3,15,291,202,20,100,375,14,61
Red Mountain Resort,Canada,CA,49.1055201,-117.8462801,49.1055201;-117.84628011635,50,193,8457,1,127,4.46,22,31,403,13,266,375,14,61
La Tania,France,FR,45.432169,6.5963993,45.432169;6.5963993,50,193,32500,1,127,4.6,23,4,277,17,210,509,9,216
Les Carroz,France,FR,46.0254794,6.6383866,46.0254794;6.6383866,50,193,28419,1,127,4.23,21,82,210,19,161,510,9,216
Samoens,France,FR,46.0834066,6.7269485,46.0834066;6.7269485,50,193,92092,1,127,3.06,15,291,194,20,100,375,14,61
Garmisch Partenkirchen,Germany,DE,47.4923741,11.0962815,47.4923741;11.0962815,50,193,399214,4,40,4.15,20,135,217,19,161,586.25,7,236
Corvara,Italy,IT,42.2748753,13.8726935,42.2748753;13.8726935,50,193,116174,2,81,4.2,21,82,209,20,100,566.16,7,236
La Thuile,Italy,IT,45.7162875,6.9486119,45.7162875;6.9486119,50,193,114960,2,81,3.4,17,274,167,21,34,479,10,197
Steamboat,USA,US,35.748065,-109.850669,35.748065;-109.850669,50,193,45325,1,127,4.4,22,31,376,14,254,401.59,13,141
Taos,USA,US,36.4072377,-105.573284,36.4072377;-105.573284,50,193,558206,6,25,4.36,21,82,470,10,280,401.59,13,141
Filzmoos,Austria,AT,47.4329886,13.5182127,47.4329886;13.5182127,49,207,36747,1,127,4.03,20,135,196,20,100,552.44,8,229
Galtur,Austria,AT,46.9681674,10.1865341,46.9681674;10.1865341,49,207,29415,1,127,4.4,22,31,221,19,161,586.25,7,236
Gosau,Austria,AT,47.5851071,13.5362156,47.5851071;13.5362156,49,207,55724,1,127,3.7,18,239,163,21,34,528.15,9,216
Hinterglemm,Austria,AT,47.378973,12.5971959,47.378973;12.5971959,49,207,85361,1,127,3.9,19,202,244,18,186,446,11,178
Obergurgl,Austria,AT,46.870377,11.0274984,46.870377;11.0274984,49,207,58306,1,127,3.5,17,274,286,17,210,375.41,14,61
Silver Star Mountain,Canada,CA,50.3688799,-119.0640404,50.3688799;-119.0640404,49,207,30846,1,127,4.43,22,31,427,12,270,375.41,14,61
Les Contamines - Montjoie,France,FR,45.8210905,6.72751,45.8210905;6.72751,49,207,15170,1,127,3.7,18,239,165,21,34,510,9,216
La Tzoumaz,Switzerland,CH,46.1444445,7.2348916,46.1444445;7.2348916,49,207,17494,1,127,4.4,22,31,291,17,210,509,9,216
Murren,Switzerland,CH,46.5594576,7.8929321,46.5594576;7.8929321,49,207,80238,1,127,3.7,18,239,249,18,186,432,12,166
Nendaz,Switzerland,CH,46.1867083,7.3051008,46.1867083;7.3051008,49,207,70131,1,127,3.7,18,239,249,18,186,416,12,166
Crans Montana,Switzerland,CH,46.31201363,7.480582513,46.3120136326394;7.48058251273731,49,207,223101,3,60,4.4,22,31,294,17,210,566,7,236
Stowe,USA,US,44.4643768,-72.6856197,44.4643768;-72.6856197,49,207,300979,4,40,4.1,20,135,436,12,270,402,13,141
Cerro Catedral,Argentina,AR,-44.9309958,-71.9281292,-44.9309958;-71.9281292,48,219,191314,2,81,4.63,23,4,130,22,5,723,1,264
Grimentz Anniviers,Switzerland,CH,46.1802947,7.573834,46.1802947;7.573834,48,219,33600,0,294,3.9,19,202,263,18,186,446,11,178
Klosters,Switzerland,CH,46.8829097,9.8750678,46.8829097;9.8750678,48,219,73109,1,127,4.36,21,82,302,16,229,483,10,197
Jay Peak,USA,US,47.6313713,-120.8295337,47.6313713;-120.8295337,48,219,73061,1,127,3.7,18,239,379,14,254,336,15,24
Sunday River,USA,US,44.4718486,-70.86733784,44.4718486;-70.8673378446274,48,219,77729,1,127,4,20,135,379,14,254,401.59,13,141
The Summit at Snoqualmie,USA,US,41.07502945,-85.14212685,41.07502945;-85.1421268483053,48,219,1866,1,127,3.7,18,239,313,16,229,401.59,13,141
Las Lenas,Argentina,AR,-35.1467089,-70.0800761,-35.1467089;-70.0800761,47,225,9628,1,127,3.76,18,239,270,17,210,451.64,11,178
Dachstein West,Austria,AT,47.5149184,13.4498696,47.5149184;13.4498696,47,225,23715,1,127,3.9,19,202,129,22,5,625.94,5,243
Fugen / Fugenberg,Austria,AT,47.340127,11.846386,47.340127;11.846386,47,225,2166,1,127,4.26,21,82,388,14,254,441.42,11,178
Kimberley,Canada,CA,49.6850876,-115.9819477,49.6850876;-115.9819477,47,225,479,1,127,4.3,21,82,332,15,242,478.94,10,197
Mont Sainte Anne,France,FR,43.90217925,-0.4919311424,43.90217925;-0.491931142391699,47,225,16339,1,127,3.63,18,239,365,14,254,361,14,61
Grand Targhee,USA,US,43.78421,-110.9446116,43.78421;-110.944611569787,47,225,32906,1,127,4.2,21,82,379,14,254,462.98,11,178
Loon,USA,US,48.072688,-117.63021,48.072688;-117.63021,47,225,39230,1,127,3.7,18,239,403,13,266,359.73,15,24
Sierra-at-Tahoe,USA,US,38.7960972,-120.0768961,38.7960972;-120.076896083138,47,225,40379,1,127,4.4,22,31,474,10,280,375,14,61
Arinsal,Andorra,AD,42.5720821,1.4844029,42.5720821;1.4844029,46,233,49733,1,127,4.6,23,4,168,21,34,723,1,264
Bad Gastein,Austria,AT,47.1144954,13.1352653,47.1144954;13.1352653,46,233,146407,2,81,4.4,22,31,188,20,100,713,2,251
Bad Hofgastein,Austria,AT,47.1703104,13.1060635,47.1703104;13.1060635,46,233,47122,1,127,4.7,23,4,195,20,100,713,2,251
Revelstoke,Canada,CA,50.998045,-118.1956709,50.998045;-118.1956709,46,233,362907,4,40,3.4,17,274,450,11,277,375.41,14,61
Sun Peaks,Canada,CA,50.8844684,-119.8823295,50.8844684;-119.8823295,46,233,116287,2,81,3.9,19,202,413,12,270,401.59,13,141
Flaine,France,FR,46.0068544,6.6903664,46.0068544;6.6903664,46,233,84641,1,127,3.8,19,202,269,18,186,552,8,229
Davos,Switzerland,CH,46.796198,9.8236892,46.796198;9.8236892,46,233,470087,5,29,4.2,21,82,302,16,229,651,4,248
Lenzerheide,Switzerland,CH,46.7280297,9.5584408,46.7280297;9.5584408,46,233,157798,2,81,3.56,17,274,264,18,186,505,9,216
Crested Butte,USA,US,38.8698201,-106.984043,38.8698201;-106.984043,46,233,398428,4,40,4.1,20,135,336,15,242,566.16,7,236
Mount Snow,USA,US,42.9589685,-72.9237112,42.9589685;-72.9237112,46,233,87964,1,127,4.3,21,82,426,12,270,416,12,166
Mt Bachelor,USA,US,43.9792818,-121.688365,43.9792818;-121.688365,46,233,155048,2,81,3.5,17,274,331,15,242,416,12,166
Snowbird,USA,US,35.3012874,-83.873361,35.3012874;-83.873361,46,233,361373,4,40,3.6,18,239,474,10,280,375,14,61
Axamer Lizum,Austria,AT,47.1943801,11.3030187,47.1943801;11.3030187,45,245,29254,1,127,4.5,22,31,150,21,34,723,1,264
Borovets,Bulgaria,BG,42.2668301,23.6074324,42.2668301;23.6074324,45,245,88013,1,127,4.2,21,82,133,22,5,723,1,264
Mont Tremblant,Canada,CA,46.11588,-74.5891426,46.11588;-74.5891426,45,245,332527,4,40,3.63,18,239,516,9,289,361,14,61
Sunshine Village,Canada,CA,49.11834145,-122.8910081,49.11834145;-122.891008142345,45,245,136233,2,81,4.1,20,135,474,10,280,401.59,13,141
Avoriaz,France,FR,46.1925439,6.7702857,46.1925439;6.7702857,45,245,288189,3,60,4.5,22,31,233,19,161,723,1,264
Chamrousse,France,FR,45.1171487,5.893161879,45.1171487;5.89316187870319,45,245,86108,1,127,4,20,135,138,22,5,713,2,251
Les Diablerets,Switzerland,CH,46.35548707,7.15718888,46.3554870743746;7.1571888795723,45,245,38164,1,127,3.6,18,239,274,17,210,510,9,216
Bormio,Italy,IT,46.4692482,10.3721712,46.4692482;10.3721712,45,245,376896,4,40,3.96,19,202,179,21,34,723,1,264
Canazei,Italy,IT,46.4768809,11.7710748,46.4768809;11.7710748,45,245,183871,2,81,4.6,23,4,226,19,161,723,1,264
Kandersteg,Switzerland,CH,46.4975866,7.6756638,46.4975866;7.6756638,45,245,129002,2,81,3.8,19,202,190,20,100,645,4,248
Okemo Mountain,USA,US,43.4009701,-72.7166947,43.4009701;-72.7166947,45,245,15732,1,127,3.63,18,239,420,12,270,375,14,61
Squaw Valley,USA,US,36.694193,-119.199924,36.694193;-119.199924,45,245,177241,2,81,2.5,12,295,307,16,229,352,15,24
Bad Kleinkirchheim,Austria,AT,46.8144214,13.7983599,46.8144214;13.7983599,44,257,47568,1,127,4.4,22,31,191,20,100,723,1,264
Auris en Oisans,France,FR,45.0543486,6.0771511,45.0543486;6.0771511,44,257,5102,1,127,4.23,21,82,155,21,34,723,1,264
Chatel,France,FR,46.2671987,6.8412678,46.2671987;6.8412678,44,257,121710,2,81,4,20,135,168,21,34,723,1,264
La Rosiere,France,FR,47.9081796,6.6250492,47.9081796;6.6250492,44,257,61217,1,127,3.8,19,202,202,20,100,657,4,248
Bardonecchia,Italy,IT,45.078339,6.703205,45.078339;6.703205,44,257,149381,2,81,3.9,19,202,155,21,34,713,2,251
Bohinj,Slovenia,SI,46.30203365,13.90901554,46.30203365;13.9090155363461,44,257,173319,2,81,3.9,19,202,121,22,5,723,1,264
Baqueira Beret,Spain,ES,42.699353,0.933476,42.699353;0.933476,44,257,113312,2,81,3.9,19,202,175,21,34,713,2,251
Arosa,Switzerland,CH,46.7797248,9.6781356,46.7797248;9.6781356,44,257,250937,3,60,4.63,23,4,301,16,229,713,2,251
Laax,Switzerland,CH,46.806412,9.2581267,46.806412;9.2581267,44,257,193544,2,81,3.7,18,239,393,13,266,452,11,178
Zinal,Switzerland,CH,46.136287,7.6267982,46.136287;7.6267982,44,257,38612,1,127,4,20,135,264,18,186,632,5,243
Snowmass,USA,US,39.3316513,-106.986156,39.3316513;-106.986156,44,257,244240,3,60,4.6,23,4,660,4,291,375.41,14,61
Stratton Mountain,USA,US,43.1167439,-72.906489,43.1167439;-72.906489,44,257,46955,1,127,3.7,18,239,436,12,270,402,13,141
Auffach,Austria,AT,47.4114488,12.0336295,47.4114488;12.0336295,43,269,4620,1,127,4.36,21,82,190,20,100,723,1,264
Brand & Burserberg,Austria,AT,48.1950666,15.6221475,48.1950666;15.6221475,43,269,5146,1,127,4,20,135,154,21,34,723,1,264
Ellmau,Austria,AT,47.5136972,12.3024747,47.5136972;12.3024747,43,269,96241,1,127,3.5,17,274,202,20,100,632,5,243
Kicking Horse,Canada,CA,51.298243,-117.0499267,51.298243;-117.0499267,43,269,65422,1,127,4.4,22,31,474,10,280,478.94,10,197
Cauterets,France,FR,42.8893451,-0.114546,42.8893451;-0.114546,43,269,105032,2,81,3.86,19,202,157,21,34,723,1,264
Cervinia,France,FR,48.5376112,2.555581059,48.5376112;2.55558105881388,43,269,300761,4,40,3.7,18,239,201,20,100,723,1,264
Champoluc,Italy,IT,45.8316385,7.7259957,45.8316385;7.7259957,43,269,94213,1,127,4,20,135,181,20,100,713,2,251
Beitostolen,Norway,NO,61.2487161,8.9062594,61.2487161;8.9062594,43,269,101061,2,81,3.6,18,239,123,22,5,723,1,264
Interlaken,Switzerland,CH,46.686281,7.864385124,46.686281000711;7.86438512415469,42,277,935041,10,16,4.36,21,82,474,10,280,723,1,264
Brides les Bains,France,FR,45.4525213,6.5667816,45.4525213;6.5667816,42,277,7117,1,127,4,20,135,182,20,100,723,1,264
Bareges,France,FR,42.8958816,0.0622368,42.8958816;0.0622368,41,279,15293,1,127,3.96,19,202,192,20,100,723,1,264
Claviere,France,FR,45.0175393,4.4072288,45.0175393;4.4072288,41,279,31489,1,127,3.73,18,239,171,21,34,723,1,264
Ax les Thermes,France,FR,42.7193597,1.8379765,42.7193597;1.8379765,40,281,24127,1,127,3.43,17,274,150,21,34,723,1,264
Campitello,Italy,IT,43.4029548,12.6915799,43.4029548;12.6915799,40,281,19196,1,127,3.8,19,202,226,19,161,723,1,264
Champery,Switzerland,CH,46.1756791,6.8687665,46.1756791;6.8687665,40,281,43320,1,127,4.06,20,135,273,17,210,713,2,251
Flims,Switzerland,CH,46.8332439,9.2834557,46.8332439;9.2834557,40,281,176835,2,81,3.7,18,239,420,12,270,552,8,229
Big White,Canada,CA,46.87111695,-60.33442845,46.87111695;-60.3344284469025,39,285,166192,2,81,3.9,19,202,316,16,229,713,2,251
Bromont,Canada,CA,45.3187339,-72.6463074,45.3187339;-72.6463074,39,285,87743,1,127,4.2,21,82,322,16,229,723,1,264
Crystal Mountain Michigan,USA,US,44.5249172,-85.99928929,44.5249172;-85.999289290202,39,285,113570,2,81,3.7,18,239,379,14,254,626,5,243
Argentiere,France,FR,45.9838402,6.9298616,45.9838402;6.9298616,38,288,34300,1,127,3.5,17,274,258,18,186,713,2,251
Beaver Creek,USA,US,43.613987,-96.363724,43.613987;-96.363724,38,288,343629,4,40,3.63,18,239,350,15,242,723,1,264
Deer Valley,USA,US,48.1815678,-117.3007731,48.1815678;-117.3007731,34,290,214683,3,60,4.5,22,31,640,4,291,632,5,243
Breckenridge,USA,US,32.7558392,-98.9032554,32.7558392;-98.9032554,32,291,976806,10,16,4.1,20,135,749,1,295,723,1,264
Copper Mountain,USA,US,38.0454785,-119.1954303,38.0454785;-119.1954303,30,292,179521,2,81,3.5,17,274,474,10,280,723,1,264
Buttermilk,USA,US,35.3873034,-92.897113,35.3873034;-92.897113,28,293,384285,4,40,4.1,20,135,687,3,293,723,1,264
Aspen,USA,US,39.1911128,-106.82356,39.1911128;-106.82356,27,294,153727,2,81,3.86,19,202,635,5,290,723,1,264
Aspen Highlands,USA,US,39.1911128,-106.82356,39.1911128;-106.82356,25,295,26326,1,127,4,20,135,687,3,293,723,1,264